description,code,U_win,G_win,e_win,F_F,GHG_win_kgCO2m2,GHG_biogenic_win_kgCO2m2,Service_Life_win,Reference Service life
single glazing,WINDOW_AS1,4.8,0.85,0.89,0.2,47,0,30,"SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010."
double glazing ,WINDOW_AS2,3.1,0.75,0.89,0.2,62,0,30,"SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010."
double glazing - with argon filling,WINDOW_AS3,1.3,0.75,0.89,0.2,69,0,30,"SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010."
double glazing with low-emissivity coating,WINDOW_AS4,1.1,0.67,0.02,0.2,123,0,30,"SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010."
triple glazing,WINDOW_AS5,0.99,0.7,0.89,0.2,123,0,30,"SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010."
trple glazing with two selective low-emissivity coatings,WINDOW_AS6,0.6,0.5,0.02,0.2,123,0,30,"SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010."
double window,WINDOW_AS7,1.2,0.75,0.89,0.2,70,0,30,"SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010."
single glazing - HDB,WINDOW_AS8,5.4,0.85,0.89,0.2,47,0,30,"SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010."
window - NTU,WINDOW_AS9,1.8,0.29,0.89,0.2,62,0,30,"SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010."
window - SinBERBest Office,WINDOW_AS10,2.2,0.2,0.89,0.2,62,0,30,"SIA, “SIA 2032 Graue Energie von Gebäuden,” no. 2010. Schweizerischer Ingenieur- und Architektenverein, Zürich, 2010."
NoRotrofit,WINDOW_NoRet,4.8,0.85,0.89,0.2,0,0,30,
