description,code,primary_components,secondary_components,tertiary_components,feedstock,scale,efficiency,CAPEX_USD2015kW,LT_yr,O&M_%,IR_%,reference
none,SUPPLY_HOTWATER_AS0,-,-,-,NONE,NONE,0,0,20,1,5,educated guess
oil-fired boiler,SUPPLY_HOTWATER_AS1,BO2,-,-,OIL,BUILDING,0.8,493,20,1,5,Connolly et al. (2013). Costs in the EU boiler <25 kW)
coal-fired furnace,SUPPLY_HOTWATER_AS2,BO4,-,-,COAL,BUILDING,0.6,367,20,1,5,Connolly et al. (2013). Costs in the EU boiler <25 kW)
natural gas-fired boiler,SUPPLY_HOTWATER_AS3,BO1,-,-,NATURALGAS,BUILDING,0.8,645,20,1,5,Connolly et al. (2013). Costs in the EU boiler <25 kW)
electrical boiler,SUPPLY_HOTWATER_AS4,BO5,-,-,GRID,BUILDING,0.9,167,5,1,5,Asuming 2000 USD for a 12kW boiler
wood-furnace,SUPPLY_HOTWATER_AS5,BO6,-,-,WOOD,BUILDING,0.6,200,20,1,5,educated guess
heatpump - soil/water,SUPPLY_HOTWATER_AS6,HP1,-,-,GRID,BUILDING,4,200,20,1,5,educated guess
heatpump - air/water,SUPPLY_HOTWATER_AS7,HP3,-,-,GRID,BUILDING,2.7,200,20,1,5,educated guess
heatpump - water/water,SUPPLY_HOTWATER_AS8,HP2,-,-,GRID,BUILDING,3,200,20,1,5,educated guess
district heating - natural gas-fired boiler,SUPPLY_HOTWATER_AS9,BO1,-,-,NATURALGAS,DISTRICT,0.6,100,20,1,5,educated guess
district heating - heatpump - soil/water,SUPPLY_HOTWATER_AS10,HP1,-,-,GRID,DISTRICT,0.6,100,20,1,5,educated guess
district heating - heat pump - water/water,SUPPLY_HOTWATER_AS11,HP2,-,-,GRID,DISTRICT,2.7,100,20,1,5,educated guess
