,PRICE TYPE,DATE,PERIOD,PRICE ($/MWh),DEMAND (MW)
0,USEP,01 Jan 2005,1,73.59,3372.12
1,USEP,01 Jan 2005,2,70.8,3304.762
2,USEP,01 Jan 2005,3,64.7,3225.406
3,USEP,01 Jan 2005,4,63.5,3185.387
4,USEP,01 Jan 2005,5,64.03,3140.772
5,USEP,01 Jan 2005,6,61.98,3097.617
6,USEP,01 Jan 2005,7,61.57,3063.245
7,USEP,01 Jan 2005,8,60.76,3043.842
8,USEP,01 Jan 2005,9,60.45,3030.139
9,USEP,01 Jan 2005,10,60.72,3031.009
10,USEP,01 Jan 2005,11,60.72,3035.298
11,USEP,01 Jan 2005,12,61.58,3075.322
12,USEP,01 Jan 2005,13,61.97,3090.018
13,USEP,01 Jan 2005,14,61.57,3071.013
14,USEP,01 Jan 2005,15,61.56,3056.456
15,USEP,01 Jan 2005,16,63.48,3127.333
16,USEP,01 Jan 2005,17,67.0,3231.285
17,USEP,01 Jan 2005,18,70.21,3288.53
18,USEP,01 Jan 2005,19,70.28,3368.03
19,USEP,01 Jan 2005,20,70.48,3428.54
20,USEP,01 Jan 2005,21,70.3,3478.468
21,USEP,01 Jan 2005,22,70.35,3512.523
22,USEP,01 Jan 2005,23,70.34,3525.012
23,USEP,01 Jan 2005,24,70.35,3520.181
24,USEP,01 Jan 2005,25,70.35,3520.504
25,USEP,01 Jan 2005,26,70.35,3527.234
26,USEP,01 Jan 2005,27,70.88,3534.729
27,USEP,01 Jan 2005,28,70.54,3514.133
28,USEP,01 Jan 2005,29,70.55,3512.021
29,USEP,01 Jan 2005,30,70.53,3507.304
30,USEP,01 Jan 2005,31,71.18,3497.588
31,USEP,01 Jan 2005,32,71.18,3485.7
32,USEP,01 Jan 2005,33,70.53,3457.415
33,USEP,01 Jan 2005,34,70.53,3457.733
34,USEP,01 Jan 2005,35,70.53,3436.417
35,USEP,01 Jan 2005,36,70.53,3452.768
36,USEP,01 Jan 2005,37,70.49,3496.579
37,USEP,01 Jan 2005,38,73.58,3601.207
38,USEP,01 Jan 2005,39,75.14,3684.544
39,USEP,01 Jan 2005,40,75.15,3704.603
40,USEP,01 Jan 2005,41,75.15,3708.927
41,USEP,01 Jan 2005,42,75.14,3696.249
42,USEP,01 Jan 2005,43,75.13,3669.858
43,USEP,01 Jan 2005,44,73.6,3605.626
44,USEP,01 Jan 2005,45,70.89,3548.545
45,USEP,01 Jan 2005,46,70.49,3491.142
46,USEP,01 Jan 2005,47,70.3,3393.253
47,USEP,01 Jan 2005,48,70.18,3342.733
48,USEP,02 Jan 2005,1,67.1,3292.968
49,USEP,02 Jan 2005,2,67.09,3250.077
50,USEP,02 Jan 2005,3,69.86,3141.492
51,USEP,02 Jan 2005,4,63.98,3082.349
52,USEP,02 Jan 2005,5,63.99,3028.609
53,USEP,02 Jan 2005,6,63.49,2982.681
54,USEP,02 Jan 2005,7,62.62,2975.628
55,USEP,02 Jan 2005,8,63.5,2979.778
56,USEP,02 Jan 2005,9,61.92,2953.885
57,USEP,02 Jan 2005,10,61.92,2946.504
58,USEP,02 Jan 2005,11,61.92,2953.547
59,USEP,02 Jan 2005,12,61.93,2969.5
60,USEP,02 Jan 2005,13,63.51,2994.609
61,USEP,02 Jan 2005,14,63.5,2977.174
62,USEP,02 Jan 2005,15,63.5,2985.166
63,USEP,02 Jan 2005,16,66.02,3081.365
64,USEP,02 Jan 2005,17,70.29,3192.763
65,USEP,02 Jan 2005,18,70.99,3284.176
66,USEP,02 Jan 2005,19,73.46,3340.024
67,USEP,02 Jan 2005,20,73.58,3433.902
68,USEP,02 Jan 2005,21,73.64,3498.776
69,USEP,02 Jan 2005,22,73.66,3540.653
70,USEP,02 Jan 2005,23,70.54,3521.31
71,USEP,02 Jan 2005,24,70.51,3518.666
72,USEP,02 Jan 2005,25,70.51,3519.729
73,USEP,02 Jan 2005,26,70.92,3540.613
74,USEP,02 Jan 2005,27,70.55,3530.057
75,USEP,02 Jan 2005,28,70.54,3525.574
76,USEP,02 Jan 2005,29,70.51,3511.037
77,USEP,02 Jan 2005,30,70.54,3498.403
78,USEP,02 Jan 2005,31,70.46,3487.737
79,USEP,02 Jan 2005,32,70.46,3476.749
80,USEP,02 Jan 2005,33,70.46,3464.473
81,USEP,02 Jan 2005,34,70.46,3457.306
82,USEP,02 Jan 2005,35,70.46,3458.081
83,USEP,02 Jan 2005,36,70.46,3489.024
84,USEP,02 Jan 2005,37,71.19,3556.81
85,USEP,02 Jan 2005,38,75.11,3664.013
86,USEP,02 Jan 2005,39,78.39,3727.087
87,USEP,02 Jan 2005,40,78.4,3730.229
88,USEP,02 Jan 2005,41,75.98,3712.058
89,USEP,02 Jan 2005,42,75.97,3705.861
90,USEP,02 Jan 2005,43,75.13,3692.322
91,USEP,02 Jan 2005,44,75.12,3652.716
92,USEP,02 Jan 2005,45,70.51,3524.133
93,USEP,02 Jan 2005,46,70.28,3415.618
94,USEP,02 Jan 2005,47,70.15,3340.784
95,USEP,02 Jan 2005,48,66.58,3291.392
96,USEP,03 Jan 2005,1,64.06,3206.48
97,USEP,03 Jan 2005,2,61.0,3108.347
98,USEP,03 Jan 2005,3,60.47,2998.123
99,USEP,03 Jan 2005,4,58.44,2967.194
100,USEP,03 Jan 2005,5,57.41,2924.587
101,USEP,03 Jan 2005,6,57.35,2899.463
102,USEP,03 Jan 2005,7,55.39,2891.775
103,USEP,03 Jan 2005,8,55.33,2879.146
104,USEP,03 Jan 2005,9,55.32,2885.771
105,USEP,03 Jan 2005,10,0.02,2888.057
106,USEP,03 Jan 2005,11,0.02,2922.956
107,USEP,03 Jan 2005,12,55.39,3001.771
108,USEP,03 Jan 2005,13,57.37,3131.105
109,USEP,03 Jan 2005,14,60.82,3327.34
110,USEP,03 Jan 2005,15,66.51,3586.794
111,USEP,03 Jan 2005,16,70.41,3862.098
112,USEP,03 Jan 2005,17,70.5,4051.052
113,USEP,03 Jan 2005,18,71.17,4243.918
114,USEP,03 Jan 2005,19,73.35,4361.578
115,USEP,03 Jan 2005,20,73.43,4422.559
116,USEP,03 Jan 2005,21,73.57,4477.756
117,USEP,03 Jan 2005,22,73.58,4497.06
118,USEP,03 Jan 2005,23,73.59,4522.029
119,USEP,03 Jan 2005,24,73.6,4514.137
120,USEP,03 Jan 2005,25,73.57,4504.266
121,USEP,03 Jan 2005,26,73.57,4520.762
122,USEP,03 Jan 2005,27,73.59,4535.214
123,USEP,03 Jan 2005,28,73.6,4529.976
124,USEP,03 Jan 2005,29,73.6,4542.809
125,USEP,03 Jan 2005,30,73.6,4538.529
126,USEP,03 Jan 2005,31,73.57,4480.982
127,USEP,03 Jan 2005,32,73.55,4477.428
128,USEP,03 Jan 2005,33,73.57,4494.436
129,USEP,03 Jan 2005,34,73.57,4477.08
130,USEP,03 Jan 2005,35,73.41,4401.725
131,USEP,03 Jan 2005,36,70.96,4301.227
132,USEP,03 Jan 2005,37,70.56,4236.413
133,USEP,03 Jan 2005,38,70.57,4259.573
134,USEP,03 Jan 2005,39,70.61,4245.488
135,USEP,03 Jan 2005,40,70.69,4196.703
136,USEP,03 Jan 2005,41,74.31,4189.993
137,USEP,03 Jan 2005,42,81.49,4136.208
138,USEP,03 Jan 2005,43,78.4,4039.78
139,USEP,03 Jan 2005,44,73.41,3930.425
140,USEP,03 Jan 2005,45,71.22,3826.88
141,USEP,03 Jan 2005,46,70.45,3716.675
142,USEP,03 Jan 2005,47,70.32,3612.017
143,USEP,03 Jan 2005,48,70.29,3499.218
144,USEP,04 Jan 2005,1,79.28,3386.15
145,USEP,04 Jan 2005,2,69.18,3266.523
146,USEP,04 Jan 2005,3,64.07,3191.893
147,USEP,04 Jan 2005,4,63.28,3147.978
148,USEP,04 Jan 2005,5,61.61,3115.489
149,USEP,04 Jan 2005,6,60.99,3078.388
150,USEP,04 Jan 2005,7,60.48,3065.307
151,USEP,04 Jan 2005,8,60.47,3046.421
152,USEP,04 Jan 2005,9,60.48,3051.774
153,USEP,04 Jan 2005,10,60.98,3070.133
154,USEP,04 Jan 2005,11,61.6,3118.536
155,USEP,04 Jan 2005,12,64.05,3194.89
156,USEP,04 Jan 2005,13,64.3,3307.242
157,USEP,04 Jan 2005,14,66.11,3438.763
158,USEP,04 Jan 2005,15,68.37,3706.353
159,USEP,04 Jan 2005,16,72.39,3962.263
160,USEP,04 Jan 2005,17,78.33,4182.161
161,USEP,04 Jan 2005,18,75.55,4298.051
162,USEP,04 Jan 2005,19,76.57,4429.662
163,USEP,04 Jan 2005,20,76.61,4517.626
164,USEP,04 Jan 2005,21,76.63,4582.29
165,USEP,04 Jan 2005,22,76.68,4625.738
166,USEP,04 Jan 2005,23,76.68,4637.423
167,USEP,04 Jan 2005,24,76.67,4607.662
168,USEP,04 Jan 2005,25,76.62,4581.177
169,USEP,04 Jan 2005,26,76.67,4600.997
170,USEP,04 Jan 2005,27,76.67,4616.986
171,USEP,04 Jan 2005,28,76.67,4642.626
172,USEP,04 Jan 2005,29,76.66,4641.299
173,USEP,04 Jan 2005,30,76.63,4629.744
174,USEP,04 Jan 2005,31,77.7,4634.048
175,USEP,04 Jan 2005,32,77.69,4640.454
176,USEP,04 Jan 2005,33,77.97,4644.912
177,USEP,04 Jan 2005,34,77.69,4616.767
178,USEP,04 Jan 2005,35,76.52,4556.168
179,USEP,04 Jan 2005,36,76.6,4464.521
180,USEP,04 Jan 2005,37,72.97,4380.434
181,USEP,04 Jan 2005,38,76.03,4378.411
182,USEP,04 Jan 2005,39,75.69,4366.105
183,USEP,04 Jan 2005,40,73.19,4317.161
184,USEP,04 Jan 2005,41,79.96,4281.069
185,USEP,04 Jan 2005,42,79.9,4225.151
186,USEP,04 Jan 2005,43,76.12,4140.711
187,USEP,04 Jan 2005,44,73.49,4034.616
188,USEP,04 Jan 2005,45,70.89,3917.692
189,USEP,04 Jan 2005,46,66.84,3805.857
190,USEP,04 Jan 2005,47,66.59,3681.339
191,USEP,04 Jan 2005,48,66.49,3559.519
192,USEP,05 Jan 2005,1,71.23,3438.972
193,USEP,05 Jan 2005,2,71.23,3357.742
194,USEP,05 Jan 2005,3,66.12,3274.291
195,USEP,05 Jan 2005,4,65.12,3222.329
196,USEP,05 Jan 2005,5,64.07,3188.399
197,USEP,05 Jan 2005,6,63.53,3164.31
198,USEP,05 Jan 2005,7,62.03,3138.764
199,USEP,05 Jan 2005,8,61.69,3121.404
200,USEP,05 Jan 2005,9,61.69,3121.473
