scenario,beta,load_factor
IBPSA/Office,1000000,10
IBPSA/Retail,1000000,10
IBPSA/Residential,1000000,10
IBPSA/Retail_Office,1000000,10
IBPSA/Office_Residential,1000000,10
IBPSA/Retail_Residential,1000000,10
IBPSA/Office,0,10
IBPSA/Retail,0,10
IBPSA/Residential,0,10
IBPSA/Retail_Office,0,10
IBPSA/Office_Residential,0,10
IBPSA/Retail_Residential,0,10
IBPSA/Office_Retail_Residential,1000000,9
IBPSA/Office_Retail_Residential,1000000,8
IBPSA/Office_Retail_Residential,1000000,7
IBPSA/Office_Retail_Residential,1000000,6
IBPSA/Office_Retail_Residential,1000000,5
IBPSA/Office_Retail_Residential,1000000,4
IBPSA/Office_Retail_Residential,1000000,3
IBPSA/Office_Retail_Residential,1000000,2
IBPSA/Office_Retail_Residential,1000000,1
IBPSA/Office_Retail_Residential,1000000,10
IBPSA/Office_Retail_Residential,0,10
