id,SCENARIO,BETA,LOAD_FACTOR
0,IBPSA/Office/,1000000,10
1,IBPSA/Retail/,1000000,10
2,IBPSA/Residential/,1000000,10
3,IBPSA/Retail_Office/,1000000,10
4,IBPSA/Office_Residential/,1000000,10
5,IBPSA/Retail_Residential/,1000000,10
6,IBPSA/Office/,0,10
7,IBPSA/Retail/,0,10
8,IBPSA/Residential/,0,10
9,IBPSA/Retail_Office/,0,10
10,IBPSA/Office_Residential/,0,10
11,IBPSA/Retail_Residential/,0,10
12,IBPSA/Office_Retail_Residential/,1000000,9
13,IBPSA/Office_Retail_Residential/,1000000,8
14,IBPSA/Office_Retail_Residential/,1000000,7
15,IBPSA/Office_Retail_Residential/,1000000,6
16,IBPSA/Office_Retail_Residential/,1000000,5
17,IBPSA/Office_Retail_Residential/,1000000,4
18,IBPSA/Office_Retail_Residential/,1000000,3
19,IBPSA/Office_Retail_Residential/,1000000,2
20,IBPSA/Office_Retail_Residential/,1000000,1
21,IBPSA/Office_Retail_Residential/,1000000,10
22,IBPSA/Office_Retail_Residential/,0,10
