const_type,description,year_start,year_end,type_mass,type_leak,type_win,type_roof,type_part,type_wall,type_floor,type_base,type_shade,Es,Hs,occupied_bg,Ns,wwr_north,wwr_south,wwr_east,wwr_west,hvac_type_hs,hvac_type_cs,hvac_type_dhw,hvac_type_ctrl,hvac_type_vent,hvac_heat_starts,hvac_heat_ends,hvac_cool_starts,hvac_cool_ends,supply_type_hs,supply_type_dhw,supply_type_cs,supply_type_el
SFH_A,TABULA Single family house … 1859,1000,1859,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_A,ROOF_SFH_A,WALL_AS7,WALL_SFH_A,FLOOR_SFH_A,FLOOR_SFH_A,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_B,TABULA Single family house 1860 - 1918,1860,1918,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_B,ROOF_SFH_B,WALL_AS7,WALL_SFH_B,FLOOR_SFH_B,FLOOR_SFH_B,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_C,TABULA Single family house 1919 - 1948,1919,1948,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_C,ROOF_SFH_C,WALL_AS7,WALL_SFH_C,FLOOR_SFH_C,FLOOR_SFH_C,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_D,TABULA Single family house 1949 - 1957,1949,1957,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_D,ROOF_SFH_D,WALL_AS7,WALL_SFH_D,FLOOR_SFH_D,FLOOR_SFH_D,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_E,TABULA Single family house 1958 - 1968,1958,1968,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_E,ROOF_SFH_E,WALL_AS7,WALL_SFH_E,FLOOR_SFH_E,FLOOR_SFH_E,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_F,TABULA Single family house 1969 - 1978,1969,1978,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_F,ROOF_SFH_F,WALL_AS7,WALL_SFH_F,FLOOR_SFH_F,FLOOR_SFH_F,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_G,TABULA Single family house 1979 - 1983,1979,1983,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_G,ROOF_SFH_G,WALL_AS7,WALL_SFH_G,FLOOR_SFH_G,FLOOR_SFH_G,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS1,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_H,TABULA Single family house 1984 - 1994,1984,1994,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_H,ROOF_SFH_H,WALL_AS7,WALL_SFH_H,FLOOR_SFH_H,FLOOR_SFH_H,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS15,SUPPLY_HOTWATER_AS15,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_I,TABULA Single family house 1995 - 2001,1995,2001,CONSTRUCTION_TAB,TIGHTNESS_MED,WINDOW_SFH_I,ROOF_SFH_I,WALL_AS7,WALL_SFH_I,FLOOR_SFH_I,FLOOR_SFH_I,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS18,SUPPLY_HOTWATER_AS18,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
SFH_J,TABULA Single family house 2002 - 2009,2002,2009,CONSTRUCTION_TAB,TIGHTNESS_LOW,WINDOW_SFH_J,ROOF_SFH_J,WALL_AS7,WALL_SFH_J,FLOOR_SFH_J,FLOOR_SFH_J,SHADING_DE1,0.85,0.85,FALSE,0.85,0.07869,0.225233,0.187066,0.187066,HVAC_HEATING_AS2,HVAC_COOLING_AS0,HVAC_HOTWATER_AS1,HVAC_CONTROLLER_AS1,HVAC_VENTILATION_AS0,01|09,31|08,00|00,00|00,SUPPLY_HEATING_AS18,SUPPLY_HOTWATER_AS18,SUPPLY_COOLING_AS0,SUPPLY_ELECTRICITY_AS1
