use_type,Tcs_set_C,Ths_set_C,Tcs_setb_C,Ths_setb_C,Ve_lsp,RH_min_pc,RH_max_pc,Occ_m2p,Qs_Wp,X_ghp,Ea_Wm2,El_Wm2,Epro_Wm2,Ed_Wm2,Vww_ldp,Vw_ldp,Qcre_Wm2,Qhpro_Wm2,Qcpro_Wm2,Ev_kWveh
MULTI_RES,26,21,28,18,8.333333333333334,30,60,30.0,70,80,8.0,2.7,0.0,0,35.0,140.0,0,0,0,0
SINGLE_RES,26,21,28,18,8.333333333333334,30,60,50.0,70,80,8.0,2.7,0.0,0,40.0,160.0,0,0,0,0
HOTEL,26,21,28,21,10.0,30,60,15.0,70,80,8.0,2.7,0.0,0,40.0,160.0,0,0,0,0
OFFICE,26,21,28,12,10.0,30,60,14.0,70,80,7.0,15.9,0.0,0,3.0,60.0,0,0,0,0
RETAIL,26,20,28,12,8.333333333333334,30,60,8.0,70,80,2.0,33.3,0.0,0,2.0,30.0,0,0,0,0
FOODSTORE,26,20,28,12,8.333333333333334,30,60,8.0,70,80,2.0,21.3,0.0,0,2.0,30.0,10,0,0,0
RESTAURANT,26,21,28,12,10.0,30,70,2.0,70,80,2.0,6.9,0.0,0,15.0,45.0,0,0,0,0
INDUSTRIAL,30,18,32,12,41.666666666666664,30,70,15.0,90,170,10.0,10.8,16.5,0,3.0,60.0,0,150,0,0
SCHOOL,26,21,28,12,6.944444444444445,30,60,3.0,70,80,4.0,14.0,0.0,0,2.0,30.0,0,0,0,0
HOSPITAL,26,22,28,21,10.0,30,60,9.280000000000001,70,80,12.990000000000002,10.998000000000001,0.0,0,25.8,103.2,0,16,0,0
GYM,26,18,28,12,25.0,30,70,10.0,120,280,2.0,9.9,0.0,0,60.0,180.0,0,0,0,0
SWIMMING,30,24,32,12,10.0,30,70,10.0,70,80,2.0,11.3,0.0,0,120.0,360.0,0,0,0,0
SERVERROOM,26,18,28,12,36.0,30,60,0.0,70,0,0.0,6.6,0.0,100,0.0,0.0,0,0,0,0
PARKING,28,18,28,12,0.0,30,70,0.0,35,0,1.0,2.9,0.0,0,0.0,0.0,0,0,0,0
COOLROOM,2,2,2,-18,0.0,30,70,0.0,70,0,0.0,5.7,0.0,0,0.0,0.0,100,0,0,0
LAB,26,21,28,12,83.33333333333333,30,60,15.0,70,80,20.0,16.2,16.5,0,3.0,60.0,0,0,0,0
MUSEUM,26,21,28,12,10.0,30,60,3.0,70,80,7.0,10.8,0.0,0,2.0,30.0,0,0,0,0
LIBRARY,26,21,28,12,10.0,40,60,5.0,70,80,2.0,6.9,0.0,0,0.0,0.0,0,0,0,0
UNIVERSITY,26,21,28,12,8.333333333333334,30,60,10.0,70,80,4.0,12.5,0.0,0,2.0,30.0,0,0,0,0
